Date,MktRF,SMB,HML,Rf,Mom,ExcessOP,ExcessSP500,JNJ
202003,-13.39,-4.83,-13.87,0.13,7.97,15.76526,12.55441029331537,14.290802232830707
202004,13.65,2.45,-1.33,0.0,-5.23,3.472512,4.528177501261837,-0.8597710576844549
202005,5.58,2.47,-4.88,0.01,0.43,-1.93197,1.828840328350267,-4.813447275330965
202006,2.46,2.69,-2.2,0.01,-0.73,0.492548,5.500129697544421,3.6378544377539326
202007,5.77,-2.33,-1.41,0.01,7.61,-0.37938,6.996468732421925,5.2383809366129235
202008,7.63,-0.22,-2.97,0.01,0.55,-1.28473,-3.932795409549439,-2.316968345799141
202009,-3.63,0.02,-2.71,0.01,3.12,-1.11417,-2.776577460600653,-7.915672709576548
202010,-2.1,4.38,4.25,0.01,-3.05,12.56026,10.744565805086301,5.51109222743954
202011,12.47,5.8,2.09,0.01,-12.43,5.729262,3.702140665943237,9.523856224030746
202012,4.63,4.89,-1.51,0.01,-2.32,-6.82802,-1.12366401584636,3.6435903203861275
202101,-0.03,7.36,3.01,0.01,4.5,-2.73892,2.599147497199974,-2.872731718924097
202102,2.78,2.05,7.15,0.0,-7.89,11.28996,4.243863400810773,4.3637504121440225
202103,3.08,-2.37,7.39,0.0,-6.14,7.527007,5.242531255584731,-0.9856964842854026
202104,4.93,-3.19,-0.95,0.0,1.16,4.616967,0.5486502581813129,4.006617009234804
202105,0.29,-0.25,7.09,0.0,0.88,-3.11813,2.221397632316955,-2.0574276055456755
202106,2.75,1.68,-7.87,0.0,2.2,2.24293,2.2748109365910465,4.528387634784455
202107,1.27,-3.97,-1.78,0.0,-2.28,-2.06442,2.899032139168105,0.5400431810265578
202108,2.91,-0.42,-0.15,0.0,2.45,-4.67914,-4.756914042116628,-6.16316094074435
202109,-4.37,0.71,5.08,0.0,1.49,10.32805,6.9143873301234615,0.8544888673043621
202110,6.65,-2.35,-0.49,0.0,3.19,0.699332,-0.8333731418471463,-4.266966321862551
202111,-1.55,-1.32,-0.45,0.0,0.88,12.5696,4.36128749726298,10.428095367321987
202112,3.1,-1.67,3.26,0.01,-2.6,-10.2407,-5.2685089106999765,0.7031509818012861
202201,-6.25,-5.94,12.75,0.0,-2.6,1.492955,-3.136052086678269,-4.480800762252126
202202,-2.29,2.19,3.08,0.0,1.76,0.711803,3.577323877327999,8.384052116494203
202203,3.05,-1.61,-1.81,0.01,3.01,10.61241,-8.80567191490394,1.8125071545128115
202204,-9.46,-1.39,6.17,0.01,4.87,4.93243,-0.004675611639128806,-0.5253589302941151
202205,-0.34,-1.83,8.39,0.03,2.43,-7.64733,-8.42199932238664,-0.5198031071445978
202206,-8.43,2.1,-5.97,0.06,0.75,4.823497,9.051634763220596,-1.7444001034337402
202207,9.57,2.81,-4.05,0.08,-3.95,-3.06863,-4.324011921681044,-7.632142278734467
202208,-3.77,1.4,0.29,0.19,2.04,-2.2663,-9.529570164348929,1.7423245385893917
202209,-9.35,-0.81,0.05,0.19,3.51,10.19121,7.79634545768933,6.304862577580049
202210,7.83,0.06,8.01,0.23,3.96,8.392675,5.145286029369989,2.0864856117828547
202211,4.6,-3.52,1.38,0.29,-1.98,0.802909,-6.187144929916108,-0.4078735654577665
202212,-6.41,-0.69,1.37,0.33,4.55,-12.1613,5.845283240005207,-7.819373085460324
202301,6.65,5.01,-4.01,0.35,-16.01,-9.16451,-2.9612446646715354,-6.567108899277478
202302,-2.58,1.17,-0.81,0.34,0.15,-2.80916,3.165157235872708,1.5227301104500737
202303,2.51,-5.51,-8.85,0.36,-2.47,10.11757,1.1042360882970417,5.252900126034685
202304,0.61,-3.35,-0.04,0.35,1.62,-1.61329,-0.10176760651207425,-5.627952734254106
202305,0.35,1.61,-7.72,0.36,-0.63,6.444552,6.1127512841431395,7.191176509440668
202306,6.46,1.54,-0.26,0.4,-2.37,5.891537,2.7138913980379185,0.8143525223274775
202307,3.21,2.08,4.11,0.45,-3.98,-4.27583,-2.221643248143374,-3.941904069540404
202308,-2.39,-3.16,-1.06,0.45,3.77,2.092352,-5.321929116215501,-3.418319731623451
202309,-5.24,-2.51,1.52,0.43,0.26,-0.22069,-2.6279687736850086,-5.187629962551667
202310,-3.19,-3.87,0.19,0.47,1.73,2.199888,8.447926462873765,3.7904957165358466
202311,8.84,-0.02,1.64,0.44,2.75,8.155856,3.9829169403213744,1.716460253861776
202312,4.85,6.34,4.93,0.43,-5.53,0.967677,1.159574471207563,0.9640063949668299
